"","title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"4978","Fever Dream","MOVIE",2021,"R",93,"['drama', 'horror', 'thriller']","['CL', 'PE']",5.4,1906,30.42,5.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"4979","Blue Miracle","MOVIE",2021,"",95,"['family', 'action', 'drama']","['MX', 'US']",6.6,6778,17.953,7.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"4980","Home2Home","MOVIE",2022,"",110,"['documentation', 'action', 'european']","['DE']",7.9,136,1.908,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"4984","83","MOVIE",2021,"",163,"['drama', 'history', 'sport']","['IN']",7.5,35093,10.441,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"4985","Rurouni Kenshin: The Beginning","MOVIE",2021,"R",138,"['action', 'drama']","['JP']",7.4,8273,124.417,7.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"4986","Honeymoon With My Mother","MOVIE",2022,"",110,"['comedy']","['ES']",5.8,2660,78.984,6.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4988","Death to 2021","MOVIE",2021,"",60,"['comedy']","['GB', 'US']",6.3,14529,8.126,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4989","Vengeance Is Mine, All Others Pay Cash","MOVIE",2021,"",114,"['romance', 'drama', 'action', 'comedy']","['ID']",7,559,2.51,7.8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"4991","The Getaway King","MOVIE",2021,"",100,"['drama', 'action', 'comedy', 'crime']","['PL']",6.5,1812,5.27,6.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"4992","Yaksha: Ruthless Operations","MOVIE",2022,"",125,"['action', 'crime', 'thriller']","['KR']",6.2,3146,332.936,6.2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"4993","Outside the Wire","MOVIE",2021,"R",116,"['action', 'scifi', 'thriller', 'fantasy']","['US']",5.4,42078,87.801,6.4,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"4995","The Minimalists: Less Is Now","MOVIE",2021,"",53,"['documentation']","['US']",5.9,4108,7.565,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4996","The Devil Below","MOVIE",2021,"R",89,"['horror', 'thriller']","['US']",4.2,4366,7.841,5.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4997","The Seventh Day","MOVIE",2021,"R",87,"['horror']","['US']",4.5,4403,60.598,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5003","Extinct","MOVIE",2021,"",85,"['animation', 'comedy', 'family', 'action']","['CA', 'CN', 'US']",5.4,2590,61.643,6.4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"5004","The Fable: The Killer Who Doesn't Kill","MOVIE",2021,"",132,"['action', 'comedy', 'thriller']","['JP']",6.8,1486,5.818,6.9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5005","Rurouni Kenshin: The Final","MOVIE",2021,"PG-13",139,"['drama', 'action']","['JP']",7.2,8614,64.962,7.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"5007","Bruna Louise: Demolition","MOVIE",2022,"",65,"['comedy', 'documentation']","['BR']",4.5,51,2.735,6.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5012","To All the Boys: Always and Forever","MOVIE",2021,"PG-13",115,"['romance', 'comedy', 'drama']","['US']",6.3,25191,53.199,7.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5014","Aileen Wuornos: American Boogeywoman","MOVIE",2021,"R",85,"['thriller', 'drama', 'horror']","['US']",3.7,1538,6.83,5.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5015","Tall Girl 2","MOVIE",2022,"",97,"['comedy', 'romance', 'drama', 'family']","['US']",4.7,4356,52.544,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"5019","Nobody Sleeps in the Woods Tonight 2","MOVIE",2021,"",97,"['horror', 'thriller', 'comedy']","['PL']",3.9,3641,100.747,4.1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5025","A Week Away","MOVIE",2021,"",94,"['drama', 'family', 'romance']","['US']",5.7,4608,30.453,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"5028","Jana Gana Mana","MOVIE",2022,"",161,"['drama', 'thriller', 'crime']","['IN']",8.3,9167,6.712,7.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5030","Single All the Way","MOVIE",2021,"",99,"['romance', 'comedy', 'drama']","['CA']",6.1,15190,40.516,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5031","Dhamaka","MOVIE",2021,"",104,"['thriller', 'crime', 'drama', 'action']","['IN']",7.2,40263,72.416,7.3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5033","Monster","MOVIE",2021,"R",98,"['drama', 'crime']","['CA', 'US']",6.5,5770,14.441,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5034","Never Back Down: Revolt","MOVIE",2021,"R",89,"['action', 'crime', 'drama', 'sport']","['US']",4,535,81.744,6.6,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"5037","Untold: Breaking Point","MOVIE",2021,"R",79,"['documentation', 'sport']","['US']",7.6,2490,5.385,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5040","Heart Parade","MOVIE",2022,"",108,"['comedy', 'romance']","['PL']",4.9,477,354.267,5.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5041","Pelé","MOVIE",2021,"PG-13",108,"['documentation', 'sport']","['GB']",7,4256,19.653,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"5044","Grudge","MOVIE",2021,"",104,"['thriller', 'crime', 'drama']","['TR']",5.5,4298,61.563,6.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5046","Brian Regan: On the Rocks","MOVIE",2021,"",58,"['comedy']","['US']",6.8,619,1.875,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5047","Penguin Bloom","MOVIE",2021,"PG-13",95,"['drama']","['AU', 'US']",6.8,10148,24.152,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5048","Rita Moreno: Just a Girl Who Decided to Go for It","MOVIE",2021,"PG-13",90,"['documentation']","['US']",7.7,750,4.916,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5053","Operation Varsity Blues: The College Admissions Scandal","MOVIE",2021,"R",100,"['drama', 'documentation', 'crime']","['US']",6.9,8190,8.255,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5054","Furioza","MOVIE",2021,"",139,"['crime', 'drama', 'action']","['PL']",6.2,4129,14.047,6.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"5055","Four to Dinner","MOVIE",2022,"",104,"['comedy', 'romance']","['IT']",6.3,3130,41.83,6.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5056","Seal Team","MOVIE",2021,"",101,"['animation', 'comedy']","['ZA']",5.5,1350,99.808,7.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"5057","Most Eligible Bachelor","MOVIE",2021,"",170,"['drama', 'romance']","['IN']",6.1,3261,2.675,5.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5060","Shaun the Sheep: The Flight Before Christmas","MOVIE",2021,"G",30,"['animation', 'comedy', 'family']","['GB']",7.3,1491,67.766,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"5062","The Invisible Thread","MOVIE",2022,"",90,"['drama', 'family', 'comedy']","['IT']",6.7,1704,46.282,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"5063","Mobile Suit Gundam Hathaway","MOVIE",2021,"PG-13",96,"['scifi', 'animation', 'action', 'drama', 'romance']","['JP']",6.6,1400,261.753,7.6,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
"5064","AI Love You","MOVIE",2022,"PG-13",95,"['scifi', 'comedy', 'romance', 'drama']","['TH']",4.4,572,95.533,5.828,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"5069","The Hall: Honoring the Greats of Stand-Up","MOVIE",2022,"",70,"['documentation', 'comedy']","['US']",6.3,400,2.957,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5073","Hurdang","MOVIE",2022,"",122,"['drama', 'romance']","['IN']",4.9,499,5.264,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5074","The Turning Point","MOVIE",2021,"",90,"['drama', 'crime']","['IT']",6.1,621,5.561,6.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5075","Sentinelle","MOVIE",2021,"",80,"['thriller', 'action', 'drama', 'crime']","['FR']",4.7,7844,59.784,5.9,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5077","Stuck Together","MOVIE",2021,"",126,"['comedy']","['BE', 'FR']",6.3,6897,15.493,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5078","F*ck Love Too","MOVIE",2022,"",92,"['comedy', 'romance']","['NL']",3.8,1052,170.413,5.963,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5079","Vicky and Her Mystery","MOVIE",2021,"",84,"['drama', 'family', 'european']","['FR']",6.4,1900,75.025,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"5090","Game Changer","MOVIE",2021,"",102,"['crime', 'comedy', 'drama', 'romance', 'thriller']","['TH']",4.1,113,3.203,6.6,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"5092","Murder by the Coast","MOVIE",2021,"PG-13",88,"['crime', 'documentation', 'history']","['ES']",6.5,2134,8.719,6.4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"5094","The 8th Night","MOVIE",2021,"",115,"['thriller', 'horror']","['KR']",5.3,3332,43.698,6.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5095","Ferry","MOVIE",2021,"",106,"['drama', 'action', 'crime', 'thriller']","['BE', 'NL']",7,10900,29.798,6.8,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5097","The Trip 6","MOVIE",2021,"",97,"['comedy']","['CO']",3.2,180,341.163,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5098","Radhe Shyam","MOVIE",2022,"",138,"['drama', 'romance']","['IN']",5.3,28633,5.537,5.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5102","A Boy Called Christmas","MOVIE",2021,"PG",106,"['drama', 'family', 'fantasy', 'action']","['GB']",6.7,21085,60.608,7.507,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"5107","The Taming of the Shrewd","MOVIE",2022,"",112,"['romance', 'comedy']","['PL']",4.5,836,9.926,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5108","Operation Hyacinth","MOVIE",2021,"",112,"['crime', 'drama', 'thriller']","['PL']",6.7,3119,16.846,6.8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5110","Sooryavanshi","MOVIE",2021,"",145,"['action', 'thriller', 'crime']","['IN']",6.3,75952,121.867,5.7,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5117","CBI 5: The Brain","MOVIE",2022,"",163,"['thriller', 'crime']","['IN']",6.3,1394,3.945,5.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5119","L.O.L. Surprise: The Movie","MOVIE",2021,"G",47,"['animation', 'family', 'fantasy', 'scifi', 'western', 'action']","['US']",3.8,129,109.716,6.9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
"5122","Skater Girl","MOVIE",2021,"PG",107,"['drama', 'family', 'sport']","['US', 'IN']",6.6,4289,12.433,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"5126","Found","MOVIE",2021,"PG",97,"['documentation', 'drama']","['CN', 'US']",7.5,1198,32.993,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5133","The Falls","MOVIE",2021,"",129,"['drama']","['TW']",7,1546,5.971,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5134","Yara","MOVIE",2021,"",96,"['drama', 'thriller', 'crime']","['IT']",6.2,4205,21.629,6.3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5138","Cobalt Blue","MOVIE",2022,"",112,"['romance', 'drama']","['IN']",6.6,1531,5.021,6.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5139","This Is the Night","MOVIE",2021,"R",100,"['drama', 'comedy']","['US']",5.4,626,5.428,7.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5142","Don't Kill Me","MOVIE",2021,"",90,"['fantasy', 'horror', 'romance']","['IT']",4.3,1769,10.329,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"5143","A Castle for Christmas","MOVIE",2021,"",98,"['romance', 'comedy', 'drama', 'family']","['GB', 'US']",5.5,11894,15.972,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"5145","I Am All Girls","MOVIE",2021,"",107,"['thriller', 'crime', 'drama']","['ZA']",5.9,5917,43.887,6.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5150","Sounds Like Love","MOVIE",2021,"",110,"['comedy', 'music', 'romance', 'drama']","['ES']",5.4,2135,31.672,6.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"5151","Ride or Die","MOVIE",2021,"R",142,"['thriller', 'romance', 'drama']","['JP']",5.6,1900,79.299,6.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"5153","Jersey","MOVIE",2022,"",175,"['drama', 'sport', 'romance']","['IN']",7.3,10878,68.203,7.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"5154","The Girl on the Train","MOVIE",2021,"",128,"['drama', 'thriller', 'crime']","['IN']",4.4,14348,16.169,5.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5159","Cousins","MOVIE",2021,"R",98,"['drama']","['NZ']",6.9,503,1.706,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5160","Oprah + Viola: A Netflix Special Event","MOVIE",2022,"",48,"['documentation']","['US']",7.2,319,3.035,7.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5161","Deep","MOVIE",2021,"",101,"['scifi', 'thriller', 'drama']","['TH']",4.8,1441,70.521,6.4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"5162","The Phantom","MOVIE",2021,"",81,"['documentation', 'crime']","['US', 'GB']",6.5,759,3.462,6.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5169","Fate: The Winx Saga - The Afterparty","MOVIE",2021,"PG-13",50,"['fantasy', 'reality', 'comedy']","['GB', 'IT']",6.2,72,6.557,8.9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"5171","Secret Magic Control Agency","MOVIE",2021,"",103,"['comedy', 'family', 'fantasy', 'animation']","['RU', 'US']",6.2,4086,47.669,7.2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"5176","Doom of Love","MOVIE",2022,"",100,"['romance', 'drama']","['TR']",4.7,1222,18.35,8.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5177","Breaking Boundaries: The Science of Our Planet","MOVIE",2021,"",73,"['documentation']","['US']",7.8,2663,7.679,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5181","All Hail","MOVIE",2022,"",118,"['drama', 'comedy']","['AR']",5.6,3172,84.966,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5183","The Seven Deadly Sins: Cursed by Light","MOVIE",2021,"PG-13",79,"['animation', 'fantasy', 'action']","['JP']",6.4,970,470.787,7.9,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"5186","Don","MOVIE",2022,"",164,"['romance', 'comedy', 'drama', 'action']","['IN']",7,6667,2.708,7.1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"5188","The Last Mercenary","MOVIE",2021,"",110,"['action', 'comedy', 'crime', 'thriller']","['FR']",5.3,8476,108.089,6.6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5189","Lulli","MOVIE",2021,"",90,"['fantasy', 'comedy', 'romance']","['BR']",4.8,1452,36.942,5.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"5190","Dancing on Glass","MOVIE",2022,"",137,"['drama', 'thriller']","['ES']",5.5,705,104.044,6.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5191","My Brother, My Sister","MOVIE",2021,"",110,"['drama']","['IT']",6,957,13.875,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5192","Je suis Karl","MOVIE",2021,"R",126,"['drama', 'thriller', 'european', 'romance']","['CZ', 'DE']",5.4,1077,12.981,5.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"5194","Blood Brothers: Malcolm X & Muhammad Ali","MOVIE",2021,"PG-13",95,"['documentation', 'history', 'sport']","['US']",6.9,946,7.921,7.4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"5197","Trollhunters: Rise of the Titans","MOVIE",2021,"",104,"['animation', 'action', 'comedy', 'drama', 'family', 'fantasy']","['US']",6.7,4818,88.183,7.8,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"5198","Amina","MOVIE",2021,"PG-13",120,"['war', 'history', 'drama', 'action']","['NG']",3.8,311,122.546,6.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"5202","The Princess Switch 3: Romancing the Star","MOVIE",2021,"PG",106,"['comedy', 'romance', 'drama', 'family']","['US']",5.5,5728,39.432,6.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"5203","Looop Lapeta","MOVIE",2022,"",131,"['romance', 'thriller', 'action', 'comedy', 'crime']","['IN']",5.2,4327,286.682,6.3,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"5204","Anonymously Yours","MOVIE",2021,"R",101,"['drama', 'romance']","['MX']",5.7,1718,43.391,7.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5205","The Last Forest","MOVIE",2021,"",74,"['drama', 'documentation']","['BR']",7.3,425,2.176,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5207","Rumspringa","MOVIE",2022,"",102,"['drama', 'comedy', 'romance']","['DE']",5.3,822,6.065,5.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5208","Bordertown: The Mural Murders","MOVIE",2021,"",107,"['crime', 'drama']","['FI']",6.2,2219,69.693,6.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5215","Biking Borders - eine etwas andere Reise","MOVIE",2021,"",89,"['documentation']","['DE']",7.7,933,1.129,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5217","Ronny Chieng: Speakeasy","MOVIE",2022,"",60,"['comedy', 'documentation']","['US']",6.3,1146,3.056,6.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5219","Biggie: I Got a Story to Tell","MOVIE",2021,"R",97,"['documentation', 'music']","['US']",6.8,5028,8.292,7.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5222","Super Me","MOVIE",2021,"",102,"['action', 'drama', 'fantasy', 'scifi']","['CN']",5.8,1605,41.515,7.7,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"5223","The Whole Truth","MOVIE",2021,"R",125,"['drama', 'horror', 'thriller']","['TH']",5.1,3323,149.152,6.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5224","Jonas Brothers Family Roast","MOVIE",2021,"",68,"['comedy', 'music']","['US']",5.2,1647,5.159,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5226","The Soul","MOVIE",2021,"",130,"['scifi', 'thriller', 'drama']","['TW', 'CN']",6.6,2791,5.521,7.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"5232","And Tomorrow the Entire World","MOVIE",2021,"",111,"['romance', 'crime', 'drama']","['FR', 'DE']",6,3172,6.581,5.7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5233","One","MOVIE",2021,"",150,"['drama', 'thriller']","['IN']",6.5,2672,2.237,6.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5238","Major Grom: Plague Doctor","MOVIE",2021,"",136,"['action', 'crime']","['RU']",6.3,11939,170.53,6.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"5240","Anne+","MOVIE",2021,"",94,"['drama']","['NL']",6,1425,7.986,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5241","Ajeeb Daastaans","MOVIE",2021,"",142,"['drama', 'romance']","['IN']",6.7,5743,5.751,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5245","Dynasty Warriors","MOVIE",2021,"PG-13",118,"['action', 'fantasy']","['NZ', 'HK']",4.7,2146,165.339,6.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"5247","Barbie: Big City, Big Dreams","MOVIE",2021,"",62,"['animation', 'music', 'family']","['US']",5.7,305,105.001,7.022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"5248","Roohi","MOVIE",2021,"",134,"['comedy', 'horror']","['IN']",4.3,10025,3.119,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5253","Crazy About Her","MOVIE",2021,"",102,"['romance', 'comedy']","['ES']",6.6,5435,27.193,7.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5254","Confessions of an Invisible Girl","MOVIE",2021,"",91,"['comedy', 'drama']","['BR']",5.2,1051,43.041,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5256","Doctor","MOVIE",2021,"",150,"['action', 'comedy', 'thriller', 'crime']","['IN']",7.5,15385,3.878,6.7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"5257","Battle: Freestyle","MOVIE",2022,"",88,"['drama', 'music', 'romance']","['NO']",4.3,382,88.676,5.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"5258","Theo Von: Regular People","MOVIE",2021,"",61,"['comedy']","['US']",5.1,827,3.436,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5260","Octonauts: The Ring of Fire","MOVIE",2021,"G",72,"['animation']","['CN', 'GB']",6.4,137,5.576,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"5261","Montford: The Chickasaw Rancher","MOVIE",2021,"",96,"['western', 'drama', 'history']","['US']",6.6,719,4.098,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"5266","Creating The Queen's Gambit","MOVIE",2021,"PG-13",14,"['documentation']","['US']",6.9,609,10.374,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5267","Nayattu","MOVIE",2021,"",124,"['thriller', 'drama', 'crime']","['IN']",8.1,7040,2.432,7.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5270","Hey! Sinamika","MOVIE",2022,"",150,"['drama', 'romance']","['IN']",6,3246,3.755,6.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5272","Memories of a Murderer: The Nilsen Tapes","MOVIE",2021,"R",84,"['documentation', 'crime']","['GB']",6.3,3301,5.426,6.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5273","Heroes: Silence and Rock & Roll","MOVIE",2021,"",94,"['documentation', 'music']","['ES']",7.5,668,14.086,8.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"5276","Phil Wang: Philly Philly Wang Wang","MOVIE",2021,"",63,"['comedy']","['GB']",6.1,632,2.353,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5278","Strip Down, Rise Up","MOVIE",2021,"R",112,"['documentation']","['US']",5.2,656,15.961,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5280","This Little Love of Mine","MOVIE",2021,"G",91,"['romance', 'comedy']","['AU']",5.3,2514,12.97,6.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5281","Bright: Samurai Soul","MOVIE",2021,"PG-13",80,"['fantasy', 'thriller', 'animation', 'action']","['JP']",5.5,830,39.563,5.8,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"5282","Last Summer","MOVIE",2021,"",101,"['drama', 'romance']","['TR']",6.3,2878,33.733,5.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5285","40 Years Young","MOVIE",2022,"",81,"['comedy']","['MX']",4.3,461,143.507,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5286","Red Dot","MOVIE",2021,"",86,"['thriller', 'horror', 'drama']","['SE']",5.5,13322,54.3,5.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5291","Black Island","MOVIE",2021,"",105,"['thriller', 'drama']","['DE']",5.2,2788,62.875,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"5293","Love Tactics","MOVIE",2022,"",97,"['comedy', 'romance']","['TR']",5.2,3774,56.074,6.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"5297","Paper Lives","MOVIE",2021,"",96,"['drama']","['TR']",6.6,12034,21.221,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
